Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,759209995840837248,170.4544694,33.9913817,12.357,0.846,0.0,0.0,0.0,50.21,50.21,1.55,2.013,,,,0.968,,Gaia_DR3,-20.033,-3.63,-20.033,0.012,-3.63,0.013
Gaia,DR3,760426914694471680,169.8736296,36.0001776,18.587,2.642,1.455,2.0644,27.5704,50.26,,,2.103,,,,0.963,,,-20.72,-4.695,-21.27,0.186,-4.359,0.217
Gaia,DR3,4023528180391793024,171.3741427,30.978647,19.711,2.675,1.752,3.111,27.8684,49.94,,,1.988,,,,1.149,,,-20.091,-2.308,-20.393,0.422,-1.639,0.532
