Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,6284007337003799552,214.0595771,-19.5423071,10.895,0.794,0.0,0.0,0.0,23.61,23.61,0.43,3.565,,,,0.919,,Gaia_DR3,-13.42,-6.045,-13.42,0.017,-6.045,0.015
Gaia,DR3,6290280183984293248,212.2076109,-19.2632081,18.271,2.864,0.847,1.7689,11.9168,24.1,,,3.465,,,,1.134,,,-12.576,-5.824,-12.145,0.286,-5.381,0.252
Gaia,DR3,6277772655102569216,213.4390285,-20.9590418,19.467,2.683,0.601,1.5317,25.0204,23.98,,,3.898,,,,0.997,,,-14.498,-6.071,-14.262,0.423,-6.505,0.356
Gaia,DR3,6282745711835431808,217.1688656,-20.6862144,19.418,2.944,0.375,3.1356,29.5622,22.83,,,3.275,,,,0.971,,,-13.042,-5.47,-13.16,0.378,-5.239,0.293
Gaia,DR3,6275954543907136640,215.0416406,-23.2992899,19.575,2.504,2.157,3.8666,29.8092,23.8,,,3.301,,,,1.23,,,-12.659,-4.594,-11.336,0.617,-3.884,0.409
