Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,3616526878875985536,205.2371059,-11.0093353,13.082,0.936,0.0,0.0,0.0,-16.62,-16.62,1.82,2.442,,,,1.013,,Gaia_DR3,11.365,-7.456,11.365,0.017,-7.456,0.011
Gaia,DR3,3616456681930467840,205.5852562,-11.308308,13.548,1.125,1.114,0.4539,3.558,-16.41,-17.91,2.15,2.451,,,,17.131,,Gaia_DR3,11.466,-7.514,11.259,0.348,-8.051,0.214
Gaia,DR3,3613157249398194944,207.4657737,-12.4736476,19.884,2.128,1.958,2.6278,27.1591,-15.39,,,2.568,,,,0.961,,,12.343,-7.965,13.256,0.527,-7.426,0.452
