Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,5089851638095503616,63.7562662,-22.1163892,12.177,0.679,0.0,0.0,0.0,0.91,0.91,1.0,1.385,,,,1.089,,Gaia_DR3,-0.367,6.395,-0.367,0.011,6.395,0.013
Gaia,DR3,5089851638095502592,63.7674053,-22.1219084,15.195,1.04,0.139,0.0117,13.7663,0.9,,,1.359,,,,1.021,,,-0.36,6.276,-0.341,0.023,6.31,0.025
Gaia,DR3,4897017841410465536,63.5436879,-23.9294927,19.62,2.551,2.383,1.8236,23.2369,0.22,,,1.379,,,,1.056,,,-0.355,6.373,-1.042,0.265,6.281,0.355
Gaia,DR3,5091736059289794944,64.1173845,-20.2353743,19.904,1.965,2.6,1.9109,29.7254,1.62,,,1.353,,,,1.04,,,-0.375,6.235,-0.89,0.363,5.702,0.393
