Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,3498553232585634816,191.7028213,-24.42739,12.946,0.807,0.0,0.0,0.0,-7.55,-7.55,2.23,1.224,,,,0.894,,Gaia_DR3,-1.124,-2.193,-1.124,0.019,-2.193,0.013
Gaia,DR3,3501661929914446848,191.2966381,-23.6926956,19.255,1.989,2.03,0.823,22.0399,-7.63,,,1.253,,,,0.998,,,-1.17,-2.215,-1.703,0.459,-2.273,0.217
Gaia,DR3,3497418119973820928,192.8568378,-25.9485349,19.845,0.816,2.267,1.8451,27.7763,-7.4,,,1.211,,,,0.984,,,-1.059,-2.23,-0.48,0.557,-2.233,0.337
Gaia,DR3,3502067061294648960,190.6733302,-22.5721713,19.947,0.785,1.706,2.0816,29.8504,-7.75,,,1.23,,,,0.98,,,-1.178,-2.13,-1.269,0.631,-1.697,0.319
