Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,2776823148594090752,12.9908016,13.0783704,11.565,0.718,0.0,0.0,0.0,11.14,11.14,0.75,1.652,,,,1.235,,Gaia_DR3,5.671,-5.624,5.671,0.029,-5.624,0.023
Gaia,DR3,2777006075546136576,14.2109027,14.0566307,19.619,2.062,0.627,1.5374,18.9311,11.19,,,1.679,,,,1.062,,,5.655,-5.814,5.488,0.525,-5.961,0.411
Gaia,DR3,2584474992452522240,15.432042,12.8248877,18.822,2.128,1.139,2.3926,25.2779,11.87,,,1.653,,,,1.092,,,5.457,-5.666,5.842,0.318,-5.569,0.218
Gaia,DR3,2778001648965149696,11.766011,14.7544451,19.162,2.434,0.661,2.0549,27.9349,10.32,,,1.702,,,,1.042,,,5.954,-5.879,5.763,0.338,-5.738,0.217
Gaia,DR3,2775803141105650816,10.2549809,12.4368368,18.611,2.586,1.086,2.7443,29.2131,10.54,,,1.663,,,,1.033,,,5.948,-5.56,6.314,0.202,-5.664,0.172
Gaia,DR3,2584398988711110272,15.7861756,12.4039196,19.593,2.734,2.949,2.8087,29.8564,12.08,,,1.644,,,,0.954,,,5.395,-5.612,4.634,0.526,-4.928,0.393
