Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,3813040874121398912,173.9385112,4.6164291,14.613,1.429,0.0,0.0,0.0,0.5,0.5,4.41,1.822,,,,2.9,,Gaia_DR3,1.736,-4.258,1.736,0.073,-4.258,0.067
Gaia,DR3,3813298537799450496,173.1513135,5.1550542,19.979,2.162,1.203,0.9515,9.4726,0.33,,,1.83,,,,1.007,,,1.752,-4.278,1.378,0.564,-4.003,0.421
Gaia,DR3,3814452058640647424,171.9059579,6.5674077,19.475,2.153,1.699,2.8103,29.3999,-0.04,,,1.864,,,,0.926,,,1.795,-4.354,1.16,0.418,-4.145,0.301
