Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,2551651031310145024,13.1404023,3.5077705,12.031,0.819,0.0,0.0,0.0,-6.21,-6.21,0.57,2.507,,,,1.099,,Gaia_DR3,18.242,2.568,18.242,0.021,2.568,0.019
Gaia,DR3,2550066669415020032,13.1975896,2.8650518,19.646,2.979,2.134,0.6453,4.7847,-6.23,,,2.497,,,,1.03,,,18.172,2.52,19.154,0.528,3.066,0.487
Gaia,DR3,2556429989881051008,12.4044953,6.4506716,19.408,2.864,1.887,3.0328,21.5518,-6.4,,,2.538,,,,1.036,,,18.424,2.795,17.419,0.494,2.887,0.467
Gaia,DR3,2549320101019000064,10.5186166,0.6600503,19.313,2.502,2.053,3.8695,26.9658,-8.02,,,2.523,,,,1.02,,,18.181,2.427,18.964,0.469,1.666,0.389
Gaia,DR3,2539941335553704960,17.3730797,4.2564724,18.612,2.646,1.106,4.2888,29.8506,-3.59,,,2.507,,,,0.977,,,18.446,2.51,17.87,0.23,2.606,0.17
