Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,658978451430055936,127.761136,16.9004669,12.221,0.792,0.0,0.0,0.0,100.02,100.02,2.69,2.335,,,,0.976,,Gaia_DR3,-7.066,-23.782,-7.066,0.017,-23.782,0.014
Gaia,DR3,659274696797297920,129.5733852,17.6686857,18.562,2.732,0.715,1.8933,20.6753,98.88,,,2.422,,,,1.033,,,-9.098,-25.268,-8.782,0.247,-25.085,0.16
Gaia,DR3,652630730284679296,127.1873402,15.5153332,19.292,2.705,1.12,1.4907,28.3234,101.29,,,2.487,,,,0.938,,,-6.95,-24.075,-7.503,0.408,-24.272,0.275
Gaia,DR3,650993999851042688,127.1708023,13.2766281,19.522,2.466,2.762,3.6684,28.3828,103.01,,,2.3,,,,0.956,,,-6.411,-20.326,-7.732,0.461,-20.107,0.389
