Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,6220602384081327104,215.1227582,-31.2020699,10.863,0.625,0.0,0.0,0.0,-26.61,-26.61,0.78,2.776,,,,1.071,,Gaia_DR3,-21.786,-0.906,-21.786,0.022,-0.906,0.019
Gaia,DR3,6219497851636189056,216.5328506,-32.3864472,19.243,2.997,2.87,1.6849,11.3278,-27.34,,,2.747,,,,1.127,,,-21.212,-1.497,-19.867,0.477,-0.521,0.326
Gaia,DR3,6119816196181673600,214.9006063,-34.6155067,18.536,2.761,1.411,3.4185,26.5357,-26.36,,,2.907,,,,1.515,,,-22.869,-1.869,-22.004,0.356,-1.873,0.288
Gaia,DR3,6269434371233943424,213.6896662,-28.5315165,19.084,2.967,1.135,2.9455,29.9011,-25.83,,,2.61,,,,1.026,,,-20.796,0.078,-20.957,0.361,0.682,0.301
