Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,1101653957463314688,106.6800701,65.8572476,12.485,0.676,0.0,0.0,0.0,-2.77,-2.77,0.73,1.704,,,,1.001,,Gaia_DR3,4.998,-10.508,4.998,0.007,-10.508,0.01
Gaia,DR3,1102334005405666304,104.4554017,65.6280184,17.849,2.454,0.717,0.9422,11.2274,-2.88,,,1.721,,,,0.928,,,5.405,-10.433,5.638,0.081,-10.548,0.089
Gaia,DR3,1101994325031860352,108.5917175,65.9887969,20.154,2.246,1.944,0.7909,18.6337,-2.65,,,1.755,,,,1.06,,,4.828,-10.968,4.633,0.281,-10.276,0.413
Gaia,DR3,1101547064318294400,106.6980845,65.523939,20.016,2.193,2.65,0.3334,26.6628,-2.6,,,1.785,,,,1.035,,,5.231,-11.012,4.661,0.289,-11.83,0.355
Gaia,DR3,1100466210027607552,102.3580858,63.970329,19.416,2.661,0.311,2.6292,27.0452,-2.3,,,1.698,,,,1.033,,,5.657,-10.139,5.604,0.232,-10.041,0.233
Gaia,DR3,1102627197052953088,101.6771542,66.3841549,17.579,2.022,0.76,2.092,27.5284,-3.56,,,1.656,,,,1.018,,,5.618,-9.785,5.602,0.071,-10.05,0.094
Gaia,DR3,1100591073317047808,104.0296556,63.8494562,19.687,2.401,2.148,2.3017,28.1002,-2.04,,,1.662,,,,0.957,,,5.284,-10.066,6.016,0.322,-10.239,0.32
