Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,3538256769264276480,170.3243214,-22.3881769,13.775,0.925,0.0,0.0,0.0,-14.16,-14.16,3.78,1.571,,,,0.971,,Gaia_DR3,-24.129,0.974,-24.129,0.018,0.974,0.016
Gaia,DR3,3538980419714760960,168.1284078,-21.4815509,18.916,2.677,2.13,2.2296,26.6727,-11.51,,,1.548,,,,1.017,,,-23.908,1.367,-24.527,0.243,1.05,0.188
Gaia,DR3,3539554119969243264,167.9764821,-21.1701764,19.276,2.419,1.079,2.4973,29.1912,-11.3,,,1.596,,,,1.005,,,-24.648,1.454,-24.304,0.357,1.571,0.26
