Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,2790691147020786816,18.9953155,21.6169051,10.653,0.662,0.0,0.0,0.0,-4.83,-4.83,0.44,3.527,,,,1.015,,Gaia_DR3,21.76,-9.197,21.76,0.02,-9.197,0.013
Gaia,DR3,2787001735754086144,17.7590989,19.7918404,19.296,2.694,0.71,2.1605,11.4136,-5.03,,,3.58,,,,1.0,,,22.083,-9.285,22.405,0.371,-8.856,0.219
Gaia,DR3,290438886990068992,22.2204183,24.0440231,19.61,3.024,0.704,3.8372,26.5798,-3.84,,,3.783,,,,0.99,,,23.305,-10.229,23.268,0.433,-10.789,0.347
Gaia,DR3,2783999587974078592,18.6833564,16.7375043,19.481,2.637,1.192,4.8883,29.2397,-3.91,,,3.344,,,,1.034,,,20.637,-8.948,19.799,0.477,-9.018,0.301
