Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,4873830691665395584,73.355311,-32.8003482,14.416,0.875,0.0,0.0,0.0,35.71,35.71,3.54,1.275,,,,0.983,,Gaia_DR3,5.697,1.262,5.697,0.014,1.262,0.017
Gaia,DR3,4874207613698770304,73.0315183,-32.878782,19.943,2.196,2.684,0.2831,17.0283,35.6,,,1.303,,,,0.988,,,5.87,1.285,5.165,0.299,1.07,0.415
Gaia,DR3,4874148961625933184,71.5361683,-33.1564908,19.57,2.41,2.464,1.567,24.9395,35.1,,,1.255,,,,1.015,,,5.879,1.201,6.508,0.227,1.031,0.29
Gaia,DR3,4875047709302056192,73.4653956,-30.8533967,18.955,2.243,1.777,1.9492,27.3717,35.88,,,1.266,,,,1.024,,,5.639,0.934,6.056,0.161,0.708,0.189
