Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,3811002791880297600,169.4827008,2.6190357,14.934,1.867,0.0,0.0,0.0,-9.11,,,4.141,,,,0.996,,,-27.26,-4.679,-27.26,0.032,-4.679,0.023
Gaia,DR3,3817157475719753088,167.6568123,5.7971821,18.827,3.081,0.786,3.6627,21.4375,-8.4,,,4.422,,,,1.073,,,-29.362,-4.612,-30.091,0.43,-4.697,0.454
Gaia,DR3,3909388290629228416,175.2391145,6.4168291,18.897,3.054,0.829,6.8805,29.0948,-12.51,,,4.225,,,,1.086,,,-26.881,-3.918,-27.246,0.347,-3.277,0.318
