Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,2576755978444329216,18.2999953,7.013029,12.982,0.863,0.0,0.0,0.0,-19.56,-19.56,1.48,2.341,,,,0.903,,Gaia_DR3,-8.24,-8.725,-8.24,0.022,-8.725,0.015
Gaia,DR3,2564433236235503872,20.6435663,5.9565517,19.078,,1.966,2.557,19.2206,-19.9,,,2.33,,,,1.063,,,-7.847,-8.825,-6.913,0.519,-9.068,0.438
Gaia,DR3,2566371091119912832,20.8907002,7.5048414,19.61,2.523,1.638,2.6166,21.0868,-20.44,,,2.388,,,,0.985,,,-8.006,-8.768,-7.249,0.506,-8.439,0.271
Gaia,DR3,2564233567501403904,18.2147774,5.8346963,18.301,2.797,0.606,1.1814,24.1082,-19.17,,,2.471,,,,0.972,,,-8.713,-9.42,-8.768,0.232,-9.731,0.165
Gaia,DR3,2562836672337184000,18.9832898,3.1812592,19.778,2.646,2.804,3.8917,29.5686,-18.53,,,2.315,,,,1.037,,,-8.048,-9.241,-9.027,0.601,-10.197,0.466
