Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,3694743765254445312,185.1815595,-1.5909142,12.551,0.781,0.0,0.0,0.0,27.51,27.51,1.71,2.191,,,,1.01,,Gaia_DR3,-25.739,-3.239,-25.739,0.02,-3.239,0.013
Gaia,DR3,3700226097733472384,185.2820189,1.8071945,19.381,2.927,0.991,3.3996,27.8859,26.95,,,2.163,,,,0.922,,,-25.431,-3.935,-25.003,0.585,-3.79,0.263
Gaia,DR3,3700178715653827584,186.0942643,1.8130891,18.281,2.567,1.352,3.5242,28.062,26.16,,,2.199,,,,1.013,,,-26.026,-3.989,-26.546,0.206,-3.64,0.129
