Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,2562569564026683520,19.5505864,2.7027827,10.919,0.682,0.0,0.0,0.0,5.96,5.96,0.41,2.585,,,,1.174,,Gaia_DR3,2.554,-14.713,2.554,0.031,-14.713,0.025
Gaia,DR3,2563415049813316736,20.1385778,4.4571543,19.07,2.961,2.104,1.8499,26.285,5.18,,,2.751,,,,1.12,,,2.675,-15.758,3.582,0.497,-16.575,0.373
Gaia,DR3,2564194814011191680,17.9258455,5.4808298,18.525,2.468,1.03,3.2161,29.0601,4.51,,,2.726,,,,1.03,,,2.809,-15.653,3.378,0.276,-15.488,0.181
