Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,3613442989278322432,206.6522385,-11.8049587,13.973,0.894,0.0,0.0,0.0,-44.94,-44.94,5.23,1.489,,,,0.998,,Gaia_DR3,-16.643,1.171,-16.643,0.023,1.171,0.021
Gaia,DR3,3617274031386816896,206.4368688,-9.7260362,18.493,2.184,2.027,2.0897,25.0091,-44.58,,,1.479,,,,1.065,,,-16.579,1.682,-16.995,0.305,1.206,0.252
Gaia,DR3,3613447662202004864,206.9785229,-11.7143608,18.923,2.372,2.0,0.332,29.8144,-45.23,,,1.427,,,,1.085,,,-15.867,1.125,-16.141,0.305,1.66,0.205
