Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,6173435259395017344,209.5170093,-30.3481537,12.559,0.769,0.0,0.0,0.0,5.37,5.37,2.1,1.437,,,,1.11,,Gaia_DR3,-4.417,-4.877,-4.417,0.019,-4.877,0.02
Gaia,DR3,6172081760580017792,208.6061554,-30.8228902,19.712,2.294,0.478,0.9166,15.9457,5.7,,,1.414,,,,1.04,,,-4.363,-4.75,-4.232,0.551,-4.694,0.427
Gaia,DR3,6173898974128441344,210.9485278,-29.5920913,19.946,2.299,1.354,1.4524,18.006,4.84,,,1.445,,,,0.956,,,-4.414,-4.98,-4.759,0.541,-4.754,0.469
Gaia,DR3,6171811830475437952,209.389211,-31.337366,19.246,1.611,0.514,0.9953,18.3516,5.68,,,1.466,,,,1.037,,,-4.51,-4.942,-4.372,0.442,-4.863,0.699
Gaia,DR3,6172082306040417024,208.4242909,-30.9007866,19.182,1.761,2.765,1.0907,20.0115,5.77,,,1.407,,,,1.044,,,-4.344,-4.717,-4.729,0.382,-3.993,0.311
Gaia,DR3,6173555239305838336,209.877382,-29.7011762,19.351,2.534,2.742,0.7183,23.1845,5.11,,,1.483,,,,0.913,,,-4.551,-5.066,-3.98,0.433,-5.704,0.482
Gaia,DR3,6173479613520711040,210.2821895,-30.2091734,19.528,2.276,2.923,0.6753,24.4133,5.16,,,1.391,,,,0.983,,,-4.262,-4.754,-5.051,0.469,-5.09,0.462
Gaia,DR3,6172824377606694912,211.9344346,-30.7925965,17.698,2.184,1.913,2.1283,26.1839,4.97,,,1.447,,,,1.002,,,-4.398,-4.993,-4.278,0.173,-4.422,0.196
Gaia,DR3,6173261532261092352,211.8121749,-29.3113742,18.458,2.118,2.644,2.2448,29.5998,4.57,,,1.462,,,,1.002,,,-4.449,-5.08,-3.762,0.238,-4.641,0.226
