Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,3798552815560689792,171.5151879,1.23062,12.443,1.017,0.0,0.0,0.0,-38.97,-38.97,1.05,4.022,,,,1.059,,Gaia_DR3,3.367,-26.805,3.367,0.016,-26.805,0.014
Gaia,DR3,3798552811267494016,171.5152212,1.2297945,18.398,1.553,0.403,0.0008,1.3322,-38.97,,,4.044,,,,0.94,,,3.385,-26.949,3.081,0.195,-27.11,0.156
Gaia,DR3,3800449026441956864,173.1287837,3.1647267,18.636,,2.098,2.518,20.8005,-39.89,,,3.758,,,,1.069,,,3.999,-23.994,3.528,0.523,-22.401,0.598
Gaia,DR3,3787178672713893632,172.0455253,-3.7146892,17.888,2.808,0.563,4.9736,22.268,-36.06,,,3.948,,,,1.043,,,3.6,-29.01,3.308,0.208,-29.376,0.17
Gaia,DR3,3798297896365961984,171.2592042,0.485904,18.135,3.016,0.492,0.7875,27.832,-38.57,,,3.62,,,,0.929,,,2.9,-24.511,3.222,0.187,-24.318,0.147
