Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,3719927426253118848,201.9626519,9.0306427,9.665,0.736,0.0,0.0,0.0,3.43,3.43,0.19,4.42,,,,0.857,,Gaia_DR3,-23.655,-7.627,-23.655,0.019,-7.627,0.007
Gaia,DR3,3737636156234542720,197.209722,12.9797939,18.361,2.798,0.784,6.1117,24.1543,4.89,,,4.41,,,,1.097,,,-23.164,-8.249,-23.676,0.218,-8.767,0.23
Gaia,DR3,3733057622312622592,199.6221332,10.6165679,19.17,,1.486,2.7988,28.0723,4.22,,,3.971,,,,0.997,,,-21.079,-7.09,-20.764,0.693,-5.886,1.227
Gaia,DR3,3744998387310514688,203.3846068,15.9121985,16.037,2.365,0.12,7.02,29.0781,1.82,,,4.282,,,,0.918,,,-23.014,-7.551,-23.121,0.053,-7.569,0.031
