Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,3579573358218514944,186.5410904,-9.6248243,11.517,0.929,0.0,0.0,0.0,41.84,41.84,0.37,2.756,,,,0.88,,Gaia_DR3,-38.138,-8.19,-38.138,0.023,-8.19,0.017
Gaia,DR3,3579662861041434112,186.954532,-9.4595086,17.824,2.44,0.37,0.44,10.7925,41.33,,,2.837,,,,1.0,,,-39.434,-8.552,-39.612,0.165,-8.42,0.136
Gaia,DR3,3577446073800628992,184.4611089,-11.6097749,18.324,2.451,0.485,2.8494,18.936,44.61,,,2.804,,,,1.064,,,-37.941,-7.191,-37.66,0.241,-7.133,0.2
Gaia,DR3,3576117799330734208,186.4293404,-12.9854506,18.743,2.729,0.646,3.3624,29.4921,42.72,,,2.613,,,,1.01,,,-36.123,-6.386,-36.349,0.28,-6.661,0.193
