Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,3764588660860363264,163.7715587,-6.478453,12.467,0.764,0.0,0.0,0.0,5.1,5.1,3.87,1.778,,,,1.019,,Gaia_DR3,-12.96,-4.604,-12.96,0.019,-4.604,0.015
Gaia,DR3,3776946308267903616,161.9714154,-5.1624803,19.383,2.949,0.903,2.2223,24.0651,5.9,,,1.812,,,,1.016,,,-13.158,-4.698,-12.853,0.334,-4.86,0.286
Gaia,DR3,3789147313923141760,164.1511518,-4.3872965,16.818,1.889,0.311,2.125,28.9605,4.42,,,1.845,,,,1.099,,,-13.459,-4.854,-13.58,0.078,-4.852,0.076
