Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,1117620107545810944,139.1125646,69.0741283,12.025,0.848,0.0,0.0,0.0,-29.45,-29.45,0.61,2.357,,,,0.947,,Gaia_DR3,-0.654,-1.238,-0.654,0.009,-1.238,0.01
Gaia,DR3,1119424681003195264,144.0047765,71.5532802,19.96,2.464,2.184,2.975,24.8703,-29.56,,,2.297,,,,1.001,,,-0.297,-0.55,-1.213,0.325,-1.079,0.371
Gaia,DR3,1092906139873563904,133.2121818,66.309923,18.5,1.471,1.623,3.5546,26.7701,-29.22,,,2.389,,,,1.652,,,-1.084,-2.052,-0.676,0.175,-2.76,0.262
Gaia,DR3,1071067781656657920,143.6466919,69.4156988,20.208,1.883,2.366,1.6423,28.811,-29.49,,,2.512,,,,0.947,,,-0.352,-1.188,-1.585,0.434,-1.414,0.547
