Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,647864446160474624,145.222919,27.9501573,12.122,0.896,0.0,0.0,0.0,32.98,32.98,0.67,3.206,,,,0.91,,Gaia_DR3,-21.061,-5.487,-21.061,0.014,-5.487,0.011
Gaia,DR3,700338947834504576,140.7359405,30.4976652,18.995,2.869,0.964,4.6709,25.5018,34.59,,,3.24,,,,0.964,,,-19.46,-7.352,-19.499,0.351,-6.695,0.305
Gaia,DR3,646335128566031104,146.5998917,25.5077128,19.467,3.028,2.112,2.7345,25.5671,32.61,,,3.009,,,,1.02,,,-20.263,-4.046,-21.291,0.391,-3.187,0.32
Gaia,DR3,698702878828005888,139.1625463,29.2936698,19.132,2.546,1.265,5.486,29.8214,35.48,,,3.222,,,,1.063,,,-18.684,-7.07,-19.508,0.391,-6.828,0.31
