Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,1636690613486307840,256.6722001,67.8715043,11.129,0.623,0.0,0.0,0.0,-18.2,-18.2,0.44,2.466,,,,1.037,,Gaia_DR3,-7.199,8.555,-7.199,0.02,8.555,0.021
Gaia,DR3,1635906249379543168,257.5787276,67.4003175,20.014,2.152,2.673,0.5839,12.8748,-18.42,,,2.394,,,,1.104,,,-6.812,8.331,-5.591,0.453,7.757,0.575
Gaia,DR3,1635800176570534144,256.3393432,66.7519293,20.119,2.439,1.234,1.1269,15.1835,-18.49,,,2.39,,,,1.0,,,-7.043,8.075,-6.927,0.617,7.464,0.507
Gaia,DR3,1649355230796102400,256.4454037,70.3170246,18.352,2.719,0.382,2.4469,17.4312,-17.47,,,2.456,,,,1.019,,,-7.215,8.889,-7.105,0.136,8.725,0.15
Gaia,DR3,1632502638119579136,256.610016,65.5602582,19.716,1.76,2.288,2.3114,18.3102,-18.85,,,2.519,,,,1.5,,,-7.367,8.335,-6.223,0.515,7.927,0.539
Gaia,DR3,1633971074555672064,259.7501636,65.902267,19.739,2.504,2.876,2.3098,20.5543,-19.05,,,2.394,,,,1.121,,,-6.381,8.314,-7.383,0.41,9.364,0.428
Gaia,DR3,1635382465231507712,255.1214051,65.36143,19.657,2.496,0.39,2.5842,23.0755,-18.75,,,2.385,,,,1.095,,,-7.263,7.693,-7.442,0.352,7.613,0.444
Gaia,DR3,1633851704527706368,262.8298164,66.2906676,18.803,2.868,0.949,2.8702,25.6223,-19.2,,,2.568,,,,0.931,,,-6.17,9.308,-6.507,0.223,9.696,0.213
