Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,4906145613282734208,5.618519,-59.94259,12.074,0.77,0.0,0.0,0.0,0.21,0.21,0.75,2.912,,,,0.935,,Gaia_DR3,-22.34,-5.039,-22.34,0.01,-5.039,0.011
Gaia,DR3,4904712189421622656,0.7590151,-62.3771925,19.463,2.78,0.813,3.3779,21.1943,2.0,,,2.865,,,,1.065,,,-22.253,-3.284,-22.212,0.316,-3.773,0.265
Gaia,DR3,4906221234771513216,5.8350291,-59.4323533,19.397,2.682,1.723,0.5218,23.7188,0.07,,,2.726,,,,1.011,,,-20.894,-4.785,-20.344,0.264,-3.962,0.287
