Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,1616054670018575872,226.1069149,60.5362326,11.756,0.768,0.0,0.0,0.0,-16.4,-16.4,0.47,2.563,,,,1.918,,Gaia_DR3,-16.116,6.295,-16.116,0.029,6.295,0.028
Gaia,DR3,1615418636902182016,230.6958917,60.3393797,20.185,2.612,2.085,2.2721,16.0636,-17.59,,,2.537,,,,1.13,,,-15.121,7.282,-14.018,0.517,7.118,0.577
Gaia,DR3,1618627179334878464,221.3899194,61.3917368,20.041,2.543,2.427,2.4434,22.2591,-15.02,,,2.471,,,,1.178,,,-16.269,5.047,-15.984,0.562,6.279,0.502
Gaia,DR3,1616612912686766080,227.9078779,62.1422785,19.773,2.425,1.168,1.8234,26.8203,-16.5,,,2.731,,,,0.968,,,-16.833,7.441,-16.852,0.426,6.769,0.349
Gaia,DR3,1617544916295447936,224.6633984,60.4171185,19.986,2.284,2.989,0.7212,28.5368,-16.05,,,2.391,,,,1.017,,,-15.261,5.523,-14.544,0.58,4.198,0.469
Gaia,DR3,1620949833223513216,225.3999435,64.7573737,19.86,2.374,2.419,4.2336,29.9848,-15.34,,,2.516,,,,1.043,,,-15.939,6.626,-15.895,0.583,5.344,0.472
