Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,3797456808626205696,171.9336588,-0.0628486,11.094,0.748,0.0,0.0,0.0,-19.36,-19.36,0.65,2.622,,,,0.786,,Gaia_DR3,-1.611,0.929,-1.611,0.02,0.929,0.018
Gaia,DR3,3798765669844620416,171.5818729,2.0791829,19.464,2.793,2.671,2.1707,20.0871,-19.27,,,2.724,,,,1.054,,,-1.741,1.38,-0.601,0.425,0.355,0.354
Gaia,DR3,3803916336359433728,167.6680785,-0.4920311,17.578,2.512,0.737,4.2871,29.7258,-19.1,,,2.689,,,,1.581,,,-2.464,0.872,-2.063,0.186,0.989,0.178
