Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,2296342614570999552,282.795259,82.2454137,11.361,0.785,0.0,0.0,0.0,1.59,1.59,0.52,2.887,,,,0.846,,Gaia_DR3,2.966,-4.657,2.966,0.014,-4.657,0.014
Gaia,DR3,2296816431066819328,273.6193042,83.8342524,19.234,2.913,0.814,1.9345,12.1145,1.28,,,2.862,,,,1.674,,,3.653,-4.116,3.577,0.42,-4.601,0.435
Gaia,DR3,2294184749986514560,279.8702884,79.390649,19.844,3.104,2.277,2.8918,18.294,1.92,,,2.937,,,,1.078,,,3.259,-4.524,4.18,0.391,-3.458,0.36
Gaia,DR3,2302128828870401920,307.1362864,84.2301414,19.544,2.936,1.407,3.4437,23.141,1.45,,,2.81,,,,1.1,,,0.727,-5.337,0.221,0.342,-6.0,0.327
Gaia,DR3,2301836113965246464,293.4785301,83.2681022,19.575,2.803,0.799,1.687,25.0845,1.54,,,3.093,,,,1.018,,,2.18,-5.504,2.257,0.314,-4.988,0.333
Gaia,DR3,2292996143556542336,286.9137882,77.7852344,20.378,1.813,2.507,4.5142,27.7454,2.24,,,2.853,,,,1.003,,,2.587,-4.708,2.4,0.732,-6.205,0.573
Gaia,DR3,2296510732474858880,280.8909755,82.7422657,20.241,2.647,2.027,0.5556,27.8614,1.5,,,2.674,,,,0.975,,,2.891,-4.227,1.751,0.554,-4.154,0.617
Gaia,DR3,1709367473089378688,254.3857759,79.9312978,15.931,1.355,0.81,4.9012,29.7138,1.32,,,2.875,,,,9.241,,,4.846,-2.651,5.305,0.554,-2.825,0.501
