Gaia DR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc
Gaia DR3 1279762991349672576,221.8652652,27.0646512,9.343,0.979,4.943,13.2570,22.4761,-14.06,-38.69,0.15,16.341,G9.9,nan,nan,1.021,nan,Gaia DR3
Gaia DR3 3956777589678737152,193.0763416,23.2744112,13.586,2.632,4.224,26.3468,22.5374,-2.51,nan,nan,19.878,M3.4,nan,nan,1.236,nan,None
Gaia DR3 1420101696285626624,256.3334623,54.4710536,5.590,0.639,0.165,29.7578,22.8247,-20.40,nan,nan,36.790,F6.0,nan,nan,1.266,nan,None
Gaia DR3 1192782928581804928,237.5471460,14.9611600,15.395,3.158,4.648,30.4463,22.8439,-18.58,nan,nan,22.469,M4.5,nan,nan,12.291,nan,None
Gaia DR3 1403766939225964288,240.4471692,51.3479158,8.386,0.939,4.146,19.7135,22.9073,-18.38,nan,nan,17.378,G8.8,nan,nan,0.915,nan,None
Gaia DR3 1160716496587849088,226.5891890,7.7151789,11.428,2.210,2.244,33.1164,23.0170,-13.96,-21.54,0.43,29.908,M1.7,nan,nan,1.386,nan,Gaia DR3
Gaia DR3 1683241633703504512,184.9674900,68.3261645,12.719,2.581,4.747,33.4594,23.1669,-6.96,-33.76,0.94,28.105,M3.2,nan,nan,1.405,nan,Gaia DR3
Gaia DR3 1603163239780410752,233.2599751,59.2935196,16.829,3.541,4.616,21.9253,23.1728,-15.89,nan,nan,17.849,M5.4,nan,nan,0.971,nan,None
Gaia DR3 1639627546483126912,233.8391225,61.6350675,13.279,2.653,3.681,24.0404,23.2153,-15.63,-9.50,2.42,18.501,M3.4,nan,nan,6.340,nan,Gaia DR3
Gaia DR3 1639627580842865920,233.8628933,61.6451030,12.587,2.123,3.158,24.0549,23.3399,-15.63,-8.01,0.53,18.443,M1.2,nan,nan,1.511,nan,Gaia DR3
Gaia DR3 1685183744899596544,203.6037994,69.9408703,12.238,2.433,4.941,31.0059,23.4084,-9.98,-14.10,1.40,22.255,M2.8,nan,nan,1.344,nan,Binks \& Jeffries (2016)
Gaia DR3 1545795533411708032,183.7852359,48.7323350,9.805,1.904,4.786,25.4267,23.5266,-3.53,-14.80,0.15,43.797,M0.3,nan,nan,4.700,nan,Gaia DR3
Gaia DR3 1370560249254878976,234.1797440,32.7973822,14.525,2.542,4.290,15.1963,23.6004,-18.19,-47.07,3.12,16.283,M3.1,nan,nan,1.103,nan,Gaia DR3
Gaia DR3 1612198918962583552,217.0363324,59.7393995,17.844,4.208,3.010,19.9503,23.6810,-12.68,nan,nan,17.142,M6.3,nan,nan,1.005,nan,None
Gaia DR3 4565621227164694016,251.3282287,21.4179526,15.404,3.235,3.745,34.1900,23.6842,-22.74,nan,nan,27.267,M4.7,nan,nan,1.093,nan,None
Gaia DR3 1680943860560015488,187.1508367,67.4912503,15.274,3.148,2.945,32.2899,23.6945,-7.20,-13.62,4.31,23.193,M4.5,nan,nan,1.466,nan,Gaia DR3
Gaia DR3 785997230125164544,175.0136927,46.1259481,15.022,2.980,1.539,31.2687,23.8337,-0.50,4.37,4.43,21.964,M4.1,nan,nan,1.051,nan,Gaia DR3
Gaia DR3 1197704480067772800,235.5472839,18.0217651,14.847,2.835,2.431,26.8348,23.9395,-18.17,9.14,4.47,19.195,M3.8,nan,nan,1.077,nan,Gaia DR3
Gaia DR3 4030344297785870720,184.0736099,37.0761199,18.011,4.668,1.299,26.0890,23.9414,-1.49,nan,nan,18.883,M6.9,nan,nan,1.126,nan,None
Gaia DR3 1523021795737549184,198.5134596,38.8149258,11.866,1.779,4.397,14.6138,23.9582,-6.74,-2.10,0.39,16.094,K7.5,nan,nan,1.286,nan,Gaia DR3
Gaia DR3 1266957735334540288,220.4496554,24.4788358,13.882,2.415,4.742,15.5261,24.0156,-13.38,11.29,1.42,16.209,M2.8,nan,nan,1.063,nan,Gaia DR3
Gaia DR3 3718565543663057152,204.6473007,7.7461955,14.325,2.828,4.064,34.0161,24.0257,-5.00,-8.82,2.46,25.115,M3.7,nan,nan,1.241,nan,Gaia DR3
Gaia DR3 788817992852527104,171.3770786,47.6924885,15.989,3.489,4.711,33.6455,24.1337,0.13,nan,nan,24.182,M5.3,nan,nan,1.190,nan,None
Gaia DR3 1337270026462959616,262.0987358,37.3674820,14.313,3.217,2.076,34.6697,24.1525,-24.04,-27.44,2.67,32.220,M4.7,nan,nan,1.216,nan,Gaia DR3
Gaia DR3 1220899674287844736,233.4242884,23.4439311,8.278,0.760,3.567,21.2261,24.1544,-17.79,-20.74,0.13,17.264,F9.5,nan,nan,1.147,nan,Gaia DR3
Gaia DR3 1558893534392538496,205.9600352,50.5014044,12.847,2.263,0.376,13.3740,24.2324,-10.02,-32.10,2.47,15.856,M2.1,nan,nan,2.320,nan,Gaia DR3
Gaia DR3 1558893534390665600,205.9603879,50.5015789,13.030,2.198,1.146,13.3740,24.3262,-10.02,-13.04,4.65,15.830,M1.7,nan,nan,1.106,nan,Gaia DR3
Gaia DR3 4026742744370003712,179.5293205,32.2736322,6.350,0.447,2.079,31.2802,24.5756,1.05,nan,nan,21.175,F1.2,nan,nan,1.047,nan,None
Gaia DR3 4026742744369123584,179.5274430,32.2725651,12.159,1.946,0.920,31.2821,24.5968,1.05,nan,nan,21.156,M0.5,nan,nan,1.685,nan,None
Gaia DR3 4454999087417518976,239.2246578,9.6155898,15.819,3.588,4.822,35.8888,24.6256,-18.59,nan,nan,29.461,M5.5,nan,nan,1.032,nan,None
Gaia DR3 4027326928641456256,181.2791936,33.7496624,7.388,0.704,1.772,29.3445,24.6606,0.13,-7.49,0.12,19.922,F8.4,nan,nan,1.016,nan,Gaia DR3
Gaia DR3 1456403004684961408,205.8528028,30.7795638,13.645,2.455,3.915,13.0138,24.8220,-8.50,-17.49,24.94,15.655,M2.9,nan,nan,1.269,nan,Gaia DR3
Gaia DR3 1456403004684961536,205.8556920,30.7787596,13.614,2.425,3.759,13.0127,24.8354,-8.50,-16.10,1.47,15.651,M2.8,nan,nan,1.246,nan,Gaia DR3
Gaia DR3 1206795169186219264,241.0543019,23.5274558,13.324,3.336,3.630,25.7424,24.8553,-20.12,-25.78,1.70,47.711,M4.9,nan,nan,9.825,nan,Gaia DR3
Gaia DR3 1320894312595678976,238.0878603,29.7969189,10.845,1.413,0.917,19.6442,24.8703,-19.34,-19.42,0.22,16.657,K4.8,nan,nan,1.191,nan,Gaia DR3
Gaia DR3 1392570650976553984,228.5516853,42.1473315,15.830,3.027,3.823,8.7423,24.9007,-16.37,8.56,5.70,15.247,M4.2,nan,nan,1.022,nan,Gaia DR3
Gaia DR3 1376712734070749952,236.8154945,38.2246253,17.989,4.183,1.367,15.1442,24.9420,-18.77,nan,nan,15.886,M6.3,nan,nan,1.046,nan,None
Gaia DR3 1278833899727756160,229.3855890,34.2347580,12.133,1.762,4.089,11.0574,24.9780,-16.76,-59.86,0.54,15.415,K7.4,nan,nan,1.074,nan,Gaia DR3
