Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr,rank_score
Gaia,DR3,5588793174214052608,114.602322,-34.0956016,18.501,2.91,3.278,3.6776,24.6612,18.1,,,2.614,M3.9,,,1.095,,,-8.822,4.703,-7.464,0.138,3.511,0.169,0
Gaia,DR3,5590492950470925312,107.8632987,-35.2508876,18.378,2.921,1.872,2.3178,24.6767,19.34,,,2.511,M3.9,,,1.017,,,-7.185,5.241,-6.303,0.125,4.79,0.147,0
Gaia,DR3,5592386515654987520,111.3679555,-33.6255228,18.696,3.211,2.139,1.0387,24.7056,18.89,,,2.482,M4.6,,,1.037,,,-7.778,4.639,-6.971,0.162,5.415,0.195,0
Gaia,DR3,5590077060198354048,110.8780703,-34.6406041,18.454,2.519,3.715,0.9262,8.6846,18.84,,,2.68,M3.1,,,0.919,,,-8.3,5.24,-9.291,0.13,3.389,0.128,0
Gaia,DR3,5590805181713016704,110.4019502,-34.644641,17.933,2.5,4.024,0.7472,7.9459,18.93,,,2.681,M3.0,,,1.051,,,-8.203,5.28,-10.052,0.094,3.956,0.116,0
Gaia,DR3,5592403386284718848,111.1156569,-33.5165899,18.13,3.151,2.42,0.8847,6.0025,18.96,,,2.628,M4.5,,,0.987,,,-8.185,4.912,-9.428,0.097,4.412,0.122,0
Gaia,DR3,5590905890106791552,110.4266184,-34.0543959,16.973,2.922,2.207,0.2501,4.9168,19.02,,,2.669,M3.9,,,1.215,,,-8.173,5.145,-7.027,0.06,5.623,0.069,0
Gaia,DR3,5591130151821320064,110.1577028,-33.4339442,18.039,3.121,1.241,0.4885,4.5746,19.18,,,2.659,M4.4,,,1.038,,,-8.088,5.031,-7.785,0.097,4.405,0.104,0
Gaia,DR3,5589999578990292352,111.6703356,-34.9898627,19.534,2.867,3.96,1.6337,11.295,18.61,,,2.615,M3.8,,,1.026,,,-8.256,5.11,-10.031,0.253,6.381,0.287,0
Gaia,DR3,5589141238364019072,110.3681547,-37.2891511,18.772,2.858,4.016,3.3707,23.9828,18.49,,,2.581,M3.8,,,0.998,,,-7.891,5.557,-10.001,0.153,4.985,0.167,0
Gaia,DR3,5604385799583458048,107.1923291,-31.4696755,18.789,2.782,3.696,3.5063,23.2846,20.09,,,2.656,M3.7,,,1.033,,,-7.459,4.863,-8.428,0.165,6.692,0.171,0
