Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr,rank_score
Gaia,DR3,5590727077726556672,109.4051894,-35.2276591,18.255,3.077,4.445,1.4494,14.7336,19.04,,,2.562,M4.3,,,1.015,,,-7.642,5.227,-5.485,0.115,6.281,0.136,0
Gaia,DR3,5602964062324617344,107.3379215,-33.3923593,17.209,2.605,4.311,2.4164,21.7211,19.76,,,2.54,M3.3,,,1.044,,,-7.165,5.001,-5.376,0.059,6.46,0.07,0
Gaia,DR3,5589500336287490304,109.6332008,-36.2259771,16.89,2.776,4.026,2.3452,21.7376,18.83,,,2.749,M3.6,,,1.473,,,-8.25,5.782,-6.115,0.075,6.725,0.085,0
Gaia,DR3,5590334002320643968,108.7174089,-35.5019329,17.763,2.942,4.206,1.9803,14.557,19.13,,,2.683,M4.0,,,1.071,,,-7.859,5.581,-5.678,0.095,6.53,0.114,0
Gaia,DR3,5603152491134340096,108.1914838,-33.3126479,17.848,3.091,3.851,1.7571,21.8151,19.6,,,2.515,M4.3,,,1.042,,,-7.264,4.878,-5.416,0.098,5.746,0.109,0
Gaia,DR3,5603145000704927232,107.9825382,-33.2506332,16.801,2.143,4.742,1.9424,14.5269,19.65,,,2.592,M1.3,,,1.793,,,-7.442,5.03,-5.513,0.103,6.76,0.105,0
Gaia,DR3,5591191728770204928,109.6222314,-33.2540698,17.135,2.942,1.949,0.8094,14.5048,19.32,,,2.546,M4.0,,,0.975,,,-7.639,4.825,-7.02,0.056,5.668,0.069,0
Gaia,DR3,5604210182660156160,107.187719,-32.1425978,19.04,,4.062,3.069,21.8986,19.98,,,2.699,,,,1.058,,,-7.579,5.076,-5.688,0.232,6.404,0.232,0
Gaia,DR3,5592358207527679872,111.2142229,-33.9242582,16.459,2.394,1.169,0.8661,14.4955,18.88,,,2.733,M2.7,,,1.004,,,-8.533,5.178,-7.887,0.041,5.369,0.051,0
Gaia,DR3,5586676652987850368,112.0696167,-36.2387084,17.781,3.098,1.29,2.7893,21.9953,18.32,,,2.726,M4.4,,,1.059,,,-8.687,5.523,-9.175,0.093,4.965,0.112,0
Gaia,DR3,5591191728770203008,109.623402,-33.2494011,15.692,1.998,2.579,0.8127,14.3607,19.32,,,2.547,M0.7,,,1.085,,,-7.642,4.826,-6.866,0.028,5.973,0.034,0
Gaia,DR3,5592852575447289856,110.8139553,-32.0466848,8.241,-0.141,0.464,1.9518,14.3508,19.25,,,2.595,B5.7,,,0.981,,,-8.024,4.606,-7.835,0.031,4.776,0.036,0
Gaia,DR3,5603046040363562496,108.2498773,-34.0484599,18.103,2.935,3.964,1.5974,22.0308,19.47,,,2.51,M4.0,,,1.045,,,-7.259,4.996,-5.849,0.104,6.548,0.107,0
Gaia,DR3,5592183591342459008,113.2297953,-32.4344339,16.479,2.399,1.392,2.9613,22.171,18.65,,,2.57,M2.7,,,0.993,,,-8.413,4.446,-9.122,0.04,4.703,0.05,0
Gaia,DR3,5602635200974098688,107.723393,-34.5207037,16.924,2.51,4.174,2.1099,14.3443,19.49,,,2.661,M3.1,,,1.076,,,-7.587,5.427,-5.404,0.052,6.275,0.068,0
Gaia,DR3,5592827939514357888,111.2240928,-31.9866211,15.411,1.904,0.552,2.128,14.2912,19.17,,,2.622,M0.3,,,1.045,,,-8.187,4.611,-7.903,0.023,4.5,0.027,0
Gaia,DR3,5591478495149890432,113.2875515,-33.9387204,17.134,2.917,1.736,2.5863,22.2579,18.42,,,2.742,M3.9,,,1.076,,,-8.989,5.021,-9.722,0.059,4.336,0.064,0
Gaia,DR3,5603135032087404288,107.6971823,-33.4765805,17.15,2.637,4.406,2.1053,14.1535,19.67,,,2.621,M3.4,,,1.03,,,-7.467,5.15,-5.443,0.06,6.503,0.059,0
Gaia,DR3,5592389062573489792,111.6438542,-33.634122,16.056,2.128,0.635,1.2582,14.0976,18.83,,,2.56,M1.2,,,0.951,,,-8.078,4.766,-8.38,0.034,4.605,0.036,0
Gaia,DR3,5591777798528761728,112.4030664,-33.0129711,17.586,2.375,3.462,2.0725,22.4586,18.76,,,2.52,M2.6,,,1.055,,,-8.095,4.525,-6.331,0.075,5.047,0.099,0
Gaia,DR3,5592228941893190400,113.7775837,-32.3619721,18.89,2.609,4.293,3.3993,22.4929,18.54,,,2.638,M3.3,,,1.096,,,-8.744,4.507,-9.952,0.168,2.448,0.174,0
Gaia,DR3,5591817213443532416,114.2790506,-33.8353713,18.975,,4.233,3.4119,22.5738,18.21,,,2.64,,,,1.019,,,-8.846,4.731,-10.583,0.343,6.322,0.22,0
Gaia,DR3,5590624754427883008,108.378204,-34.7376505,16.966,2.95,3.394,1.6897,14.9756,19.33,,,2.57,M4.0,,,1.105,,,-7.46,5.233,-6.314,0.064,6.671,0.067,0
Gaia,DR3,5603034014455025920,106.8501016,-33.0338285,18.773,3.124,4.626,2.9083,21.6042,19.91,,,2.71,M4.4,,,1.028,,,-7.538,5.299,-5.328,0.151,6.748,0.179,0
Gaia,DR3,5602690283933383680,107.2013109,-34.5038744,17.238,2.64,4.098,2.5231,21.5335,19.6,,,2.548,M3.4,,,1.007,,,-7.157,5.23,-5.308,0.058,6.422,0.064,0
Gaia,DR3,5590052630425937280,110.7636432,-34.7922666,17.863,2.922,2.433,0.9983,21.1466,18.83,,,2.784,M3.9,,,1.093,,,-8.598,5.482,-7.348,0.104,6.174,0.124,0
Gaia,DR3,5603066901026966912,108.1409678,-33.7357175,17.122,2.694,3.555,1.6961,15.6419,19.54,,,2.564,M3.5,,,0.992,,,-7.395,5.054,-6.062,0.052,6.439,0.061,0
Gaia,DR3,5591291676947787520,112.2676093,-35.1899382,18.225,2.968,1.183,2.1423,20.8393,18.45,,,2.749,M4.0,,,1.031,,,-8.803,5.358,-8.253,0.124,4.947,0.124,0
Gaia,DR3,5604890269265077760,110.3067443,-31.816626,16.927,2.821,1.021,2.1088,15.5113,19.39,,,2.686,M3.7,,,1.373,,,-8.201,4.762,-7.783,0.065,5.162,0.079,0
Gaia,DR3,5590130425170240768,108.7221947,-36.6891089,18.707,2.556,4.633,3.0085,20.9054,18.92,,,2.685,M3.2,,,1.003,,,-7.868,5.81,-9.14,0.153,3.516,0.195,0
Gaia,DR3,5590469345328353152,107.0320372,-35.6485378,18.668,3.41,2.801,3.1019,20.954,19.43,,,2.67,M5.1,,,0.969,,,-7.466,5.713,-6.639,0.146,7.056,0.173,0
Gaia,DR3,5603374901722679168,108.0890132,-32.6657359,15.913,2.223,2.808,2.146,20.9552,19.72,,,2.75,M1.8,,,1.174,,,-7.92,5.212,-6.426,0.037,5.858,0.044,0
Gaia,DR3,5589464494782977664,109.2287353,-36.6393365,18.532,1.951,4.289,2.8236,20.9679,18.83,,,2.708,M0.5,,,2.654,,,-8.04,5.806,-9.687,0.411,7.618,0.44,0
Gaia,DR3,5592886110553681024,111.1732453,-31.7826815,7.624,-0.142,1.888,2.2995,15.2884,19.21,,,2.629,B5.7,,,1.015,,,-8.199,4.589,-7.449,0.045,5.319,0.049,0
Gaia,DR3,5592891401952894080,110.8805084,-31.8392439,16.536,2.824,0.491,2.1667,21.0552,19.27,,,2.535,M3.7,,,1.072,,,-7.851,4.458,-7.666,0.044,4.643,0.051,0
Gaia,DR3,5586655246873134848,112.2579109,-36.5005105,16.706,2.576,0.854,3.0911,21.0789,18.24,,,2.605,M3.2,,,0.959,,,-8.34,5.309,-7.945,0.046,5.056,0.051,0
Gaia,DR3,5590571020094385536,108.6063266,-34.9448549,17.684,2.8,4.212,1.6461,21.087,19.25,,,2.518,M3.7,,,1.03,,,-7.353,5.147,-5.771,0.081,6.726,0.097,0
Gaia,DR3,5592838075638030592,110.7859506,-32.3745126,16.342,2.315,0.724,1.6313,15.0355,19.21,,,2.567,M2.4,,,0.979,,,-7.93,4.617,-8.056,0.037,4.988,0.046,0
Gaia,DR3,5588196556018629504,112.9223738,-35.8694587,17.527,2.3,4.233,2.9807,21.5126,18.2,,,2.582,M2.3,,,0.983,,,-8.392,5.094,-6.587,0.069,3.664,0.081,0
Gaia,DR3,5591869852570174592,113.3783269,-33.6682917,18.05,2.556,2.794,2.6778,21.1966,18.44,,,2.561,M3.2,,,1.069,,,-8.412,4.635,-7.508,0.095,3.427,0.109,0
Gaia,DR3,5592117135302787840,113.4391716,-32.866623,19.707,2.849,4.879,2.926,21.2038,18.54,,,2.702,M3.8,,,0.98,,,-8.887,4.737,-6.918,0.269,6.698,0.365,0
Gaia,DR3,5592671460970565120,110.8587211,-32.9117946,18.329,2.434,4.296,1.1624,21.2346,19.11,,,2.506,M2.8,,,1.002,,,-7.757,4.598,-8.274,0.11,2.388,0.142,0
Gaia,DR3,5592868307907534848,110.651781,-31.9649095,17.974,2.892,1.144,1.9987,21.2721,19.3,,,2.527,M3.9,,,0.99,,,-7.782,4.482,-8.28,0.1,4.834,0.106,0
Gaia,DR3,5589247757851949568,110.3779486,-36.5059981,16.968,1.288,2.61,2.5892,21.2806,18.63,,,2.73,K3.7,,,1.049,,,-8.35,5.731,-6.885,0.069,6.062,0.083,0
Gaia,DR3,5605008226248861824,110.2406638,-30.8647081,16.725,2.563,0.718,3.0582,21.2838,19.54,,,2.687,M3.2,,,0.968,,,-8.19,4.585,-7.955,0.047,4.918,0.058,0
Gaia,DR3,5603123693373651328,108.1182052,-33.5078455,19.079,3.209,3.835,1.7566,21.3227,19.58,,,2.519,M4.6,,,0.955,,,-7.26,4.926,-5.599,0.207,6.103,0.242,0
Gaia,DR3,5603423829981629952,107.1264468,-32.670644,18.383,,4.575,2.8353,21.3561,19.91,,,2.571,,,,1.128,,,-7.206,4.939,-5.135,0.155,6.302,0.216,0
Gaia,DR3,5593274135078609152,111.4980961,-31.3866921,17.292,2.732,1.0,2.771,21.396,19.19,,,2.719,M3.6,,,1.014,,,-8.547,4.645,-9.071,0.059,4.878,0.069,0
Gaia,DR3,5603085828943645696,108.8526067,-33.5928745,17.813,2.769,2.788,1.1441,21.4755,19.42,,,2.504,M3.6,,,1.065,,,-7.363,4.861,-5.928,0.091,5.189,0.107,0
Gaia,DR3,5605177551036987904,109.4548535,-30.9598732,16.188,2.314,0.984,3.0233,21.479,19.7,,,2.696,M2.4,,,1.013,,,-8.052,4.676,-7.777,0.034,5.162,0.038,0
Gaia,DR3,5592847352767303680,110.8828636,-32.2020421,5.357,-0.226,3.4,1.8209,18.992,19.21,,,2.54,B0.0,,,1.379,,,-7.865,4.53,-6.208,0.101,5.285,0.116,0
