Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,5592851785173579392,110.7778554,-32.1175466,17.185,2.88,0.299,1.8753,16.1403,19.25,,,2.568,M3.9,,,1.013,,,-7.933,4.573,-7.788,0.058,4.501,0.078
Gaia,DR3,5592853434440934016,110.9508252,-32.0322776,16.916,2.867,0.335,2.0002,16.1548,19.22,,,2.575,M3.8,,,1.06,,,-7.989,4.558,-7.996,0.065,4.74,0.079
Gaia,DR3,5604923937503979776,110.6346026,-31.4903019,18.538,3.231,1.145,2.4632,16.3333,19.37,,,2.632,M4.7,,,1.077,,,-8.101,4.58,-7.694,0.141,5.068,0.163
Gaia,DR3,5593208507967732096,111.6213984,-31.811246,18.963,3.205,0.821,2.4375,16.3973,19.11,,,2.619,M4.6,,,1.013,,,-8.257,4.543,-8.596,0.175,4.243,0.206
Gaia,DR3,5604950604968762624,110.260698,-31.4588488,17.271,2.771,1.68,2.4647,16.4628,19.45,,,2.624,M3.6,,,1.921,,,-8.0,4.587,-7.51,0.186,3.798,0.268
Gaia,DR3,5592882983816745984,111.2212642,-31.8018884,16.549,2.361,0.245,2.2968,16.6252,19.2,,,2.593,M2.6,,,0.984,,,-8.096,4.526,-8.209,0.042,4.598,0.044
Gaia,DR3,5592898132159795328,110.9036824,-31.6386308,18.198,3.045,0.48,2.3654,16.7452,19.29,,,2.598,M4.2,,,1.043,,,-8.05,4.529,-7.908,0.126,4.75,0.134
Gaia,DR3,5592887965967383040,111.1811469,-31.6703357,17.679,,1.048,2.4069,16.9841,19.22,,,2.598,,,,0.95,,,-8.107,4.515,-7.977,0.13,5.075,0.336
Gaia,DR3,5592829275242383616,111.4888916,-32.0143202,18.929,,0.6,2.2054,17.0987,19.11,,,2.578,,,,0.984,,,-8.103,4.519,-7.882,0.163,4.759,0.19
Gaia,DR3,5592885114120427776,111.3219571,-31.7291635,17.842,3.392,0.504,2.3971,17.3101,19.18,,,2.591,M5.1,,,1.143,,,-8.113,4.503,-7.86,0.1,4.394,0.118
Gaia,DR3,5604919509402857728,110.8693109,-31.4006734,18.637,,0.303,2.5894,17.332,19.33,,,2.658,,,,0.98,,,-8.228,4.591,-8.318,0.17,4.447,0.177
Gaia,DR3,5592848070018543872,110.9278392,-32.1395405,18.496,2.952,0.841,1.8925,17.4725,19.21,,,2.726,M4.0,,,1.078,,,-8.451,4.846,-7.978,0.159,4.945,0.174
Gaia,DR3,5590079400960902400,111.0089203,-34.5575018,19.685,2.886,1.655,0.9402,17.5557,18.82,,,2.756,M3.9,,,1.032,,,-8.563,5.361,-9.473,0.347,5.052,0.301
Gaia,DR3,5605293583865331456,111.1052706,-31.2960251,17.829,2.913,0.276,2.7418,18.2363,19.29,,,2.627,M3.9,,,1.018,,,-8.18,4.5,-8.034,0.084,4.548,0.101
Gaia,DR3,5592092400584674048,113.2989969,-33.0024451,19.703,2.458,3.158,2.7672,18.3181,18.56,,,2.636,M2.9,,,1.066,,,-8.644,4.658,-7.595,0.402,3.251,0.562
Gaia,DR3,5592452696810936064,111.1810535,-33.3919858,17.899,,1.388,0.9944,18.6487,18.97,,,2.764,,,,1.277,,,-8.623,5.138,-8.228,0.487,5.843,0.399
Gaia,DR3,5589737242382973312,112.0747443,-35.53218,19.102,3.421,0.901,2.2452,18.7134,18.44,,,2.562,M5.1,,,0.963,,,-8.165,5.068,-7.69,0.173,4.962,0.237
Gaia,DR3,5592834467864569472,111.2800518,-31.920295,17.659,2.827,0.072,2.2081,18.9397,19.17,,,2.557,M3.7,,,0.988,,,-7.997,4.482,-7.958,0.078,4.478,0.089
Gaia,DR3,5604927510917553280,110.6589024,-31.3291734,19.037,3.055,0.446,2.6256,18.9406,19.39,,,2.588,M4.2,,,1.073,,,-7.97,4.472,-7.877,0.206,4.697,0.219
Gaia,DR3,5590138392331012224,108.7471338,-36.5230624,17.193,3.148,1.401,2.8487,18.9725,18.95,,,2.625,M4.5,,,3.769,,,-7.695,5.646,-8.215,0.23,6.221,0.28
Gaia,DR3,5604999185333256960,110.067407,-31.0568183,18.301,3.151,0.413,2.8668,19.1603,19.55,,,2.621,M4.5,,,1.001,,,-7.954,4.522,-7.754,0.11,4.633,0.144
Gaia,DR3,5592516709001550720,111.6850327,-33.0183781,18.181,2.941,0.202,1.5535,19.393,18.92,,,2.528,M4.0,,,0.995,,,-7.983,4.595,-7.993,0.109,4.487,0.12
Gaia,DR3,5602636403564501120,107.4320659,-34.7367987,19.917,2.581,2.906,2.4034,19.5577,19.51,,,2.562,M3.2,,,1.069,,,-7.245,5.285,-8.33,0.409,6.418,0.447
