Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,2424621502311961344,4.1463471,-10.9764229,12.081,0.717,0.0,0.0,0.0,24.68,24.68,1.02,1.851,,,,1.748,,Gaia_DR3,1.769,-1.68,1.769,0.029,-1.68,0.017
Gaia,DR3,2428431653698801024,4.1532275,-9.403927,19.741,1.618,3.813,1.5725,14.8292,24.55,,,1.851,,,,1.074,,,1.767,-1.944,0.293,0.545,-1.748,0.413
Gaia,DR3,2423254324026101504,5.322909,-13.4539007,18.222,2.26,0.945,2.7313,25.7444,24.93,,,1.853,,,,1.002,,,1.583,-1.256,1.445,0.16,-1.598,0.128
Gaia,DR3,2428688179210368896,1.5428603,-9.8382758,19.902,2.039,1.348,2.8022,30.5002,24.36,,,1.907,,,,0.989,,,2.248,-1.944,2.732,0.508,-2.189,0.324
Gaia,DR3,2430972036661297536,5.0290761,-7.5202813,19.979,2.113,4.255,3.5642,34.3657,24.44,,,1.88,,,,0.978,,,1.653,-2.29,2.538,0.506,-0.854,0.482
Gaia,DR3,2422443537280022656,0.350618,-11.167859,19.486,2.599,2.834,3.73,36.2572,24.35,,,1.886,,,,1.009,,,2.415,-1.706,3.356,0.354,-1.086,0.299
Gaia,DR3,2420881612293838592,0.9180495,-13.2796965,19.672,2.147,0.71,3.9071,39.7907,24.55,,,1.805,,,,1.026,,,2.224,-1.285,2.1,0.465,-1.525,0.404
