Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,4990044668377961984,1.0465749,-47.3606349,12.372,0.887,0.0,0.0,0.0,-1.1,-1.1,0.5,2.859,,,,1.155,,Gaia_DR3,25.594,2.192,25.594,0.011,2.192,0.015
Gaia,DR3,6530413935806842624,359.5562963,-46.6641176,19.024,2.701,0.899,1.2319,16.7764,-1.81,,,2.742,,,,0.959,,,24.568,1.645,24.326,0.158,1.185,0.218
Gaia,DR3,6523811815159154816,357.6484108,-49.5508483,19.734,2.633,0.469,3.142,27.8369,-2.87,,,2.707,,,,1.027,,,24.255,0.955,24.52,0.227,0.991,0.388
Gaia,DR3,4993467344996337152,6.0787369,-42.475262,19.321,2.516,1.535,6.044,37.3313,1.96,,,2.926,,,,1.005,,,25.991,3.842,26.883,0.425,4.16,0.341
Gaia,DR3,6533791193146313728,356.7528409,-41.9185905,19.293,2.562,2.411,6.2386,38.1348,-3.12,,,2.902,,,,1.142,,,25.992,0.977,25.078,0.413,-0.18,0.39
Gaia,DR3,6525833924418358656,352.2671102,-50.0849698,19.997,2.755,1.309,6.3953,38.962,-5.44,,,2.874,,,,1.064,,,25.603,-0.853,26.37,0.319,-0.653,0.426
