Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,2546413408888429696,3.9617075,1.2005145,11.409,0.729,0.0,0.0,0.0,18.27,18.27,0.32,3.571,,,,1.733,,Gaia_DR3,1.951,16.447,1.951,0.045,16.447,0.035
Gaia,DR3,2740781913350894976,2.3517034,3.640247,19.422,2.733,1.697,2.9222,14.3723,19.1,,,3.554,,,,1.008,,,2.317,15.778,1.446,0.507,14.852,0.323
Gaia,DR3,2641605891509876608,357.5700728,-0.9837402,18.56,2.636,0.961,6.7542,32.9425,17.03,,,3.589,,,,1.077,,,3.45,17.042,2.953,0.253,16.511,0.191
