Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,385697172809355392,4.8592752,44.0275953,13.4,1.096,0.0,0.0,0.0,-29.14,-29.14,1.54,3.057,,,,1.019,,Gaia_DR3,0.923,-8.921,0.923,0.011,-8.921,0.009
Gaia,DR3,382298685445868416,8.2054602,42.5955276,19.798,3.023,1.145,2.8244,19.3578,-28.71,,,3.164,,,,1.011,,,1.396,-9.764,2.097,0.352,-10.068,0.391
Gaia,DR3,387183197131755136,1.2430391,46.9342226,19.088,2.715,0.518,3.8562,22.0957,-29.85,,,3.083,,,,1.098,,,0.464,-7.992,0.152,0.264,-7.867,0.211
Gaia,DR3,385653359845953664,5.2112243,44.0446134,19.821,2.527,0.916,0.2536,26.4399,-29.14,,,2.828,,,,1.057,,,0.896,-8.253,1.44,0.358,-8.296,0.276
Gaia,DR3,390972182921553792,7.8275979,47.5394768,20.0,2.724,1.311,4.0758,26.8349,-29.88,,,2.944,,,,1.125,,,1.253,-7.507,1.192,0.444,-8.318,0.341
Gaia,DR3,1926046816530644352,359.3011783,44.8972846,18.665,2.959,0.228,4.0602,30.9523,-29.41,,,3.27,,,,0.982,,,0.226,-9.196,0.329,0.194,-9.314,0.143
Gaia,DR3,390988636941937280,7.5081467,47.688982,19.223,2.973,0.133,4.0992,31.9493,-29.91,,,2.873,,,,0.941,,,1.184,-7.274,1.107,0.221,-7.294,0.181
Gaia,DR3,384881262164289408,0.0055354,43.7410404,17.89,1.9,1.765,3.5095,32.1422,-29.13,,,2.843,,,,3.107,,,0.28,-8.353,1.119,0.291,-8.997,0.249
Gaia,DR3,1927492090205320448,358.7476258,47.4179074,19.792,2.669,1.291,5.4469,32.1503,-29.97,,,3.151,,,,1.02,,,0.144,-7.991,-0.194,0.32,-7.203,0.272
Gaia,DR3,388836037989266688,6.5231917,45.3453408,19.775,,3.481,1.7708,33.5824,-29.42,,,2.785,,,,0.988,,,1.034,-7.752,-0.62,0.583,-6.552,0.436
Gaia,DR3,1926690447446095872,356.8733613,45.5704343,20.077,2.826,1.645,5.8701,33.6195,-29.57,,,3.104,,,,1.064,,,-0.103,-8.5,-0.799,0.493,-9.322,0.409
Gaia,DR3,375214184134960000,11.8708594,41.3114593,19.126,2.812,0.846,5.8244,33.9929,-28.26,,,3.005,,,,0.939,,,1.778,-9.745,1.444,0.262,-9.326,0.194
Gaia,DR3,1927203129099965824,358.8670459,46.5390982,19.497,2.705,0.22,4.9055,34.3463,-29.78,,,2.891,,,,1.033,,,0.147,-7.612,0.074,0.295,-7.499,0.267
Gaia,DR3,381699485968204160,6.8942416,40.576809,11.104,0.739,0.393,3.7644,34.6908,-28.21,-27.12,0.46,2.827,,,,7.068,,Gaia_DR3,1.094,-9.305,0.892,0.126,-9.424,0.111
Gaia,DR3,2880889239808994560,2.1101284,39.1663296,18.739,2.869,0.36,5.2773,35.1962,-27.91,,,2.907,,,,0.995,,,0.544,-9.946,0.764,0.141,-9.93,0.14
Gaia,DR3,386298326495821568,2.1773185,44.4480619,19.47,2.773,1.676,1.9669,35.69,-29.28,,,2.771,,,,1.005,,,0.526,-7.94,1.299,0.309,-8.542,0.219
Gaia,DR3,390245951195698048,11.7510305,47.8456975,18.402,2.701,0.482,6.1237,35.9492,-29.83,,,2.995,,,,1.048,,,1.758,-7.614,1.924,0.145,-7.869,0.145
Gaia,DR3,379225928402805632,5.9823521,38.6668046,13.562,0.949,0.405,5.4265,37.1816,-27.7,-48.52,1.82,2.888,,,,8.861,,Gaia_DR3,1.007,-10.061,0.867,0.105,-9.858,0.098
Gaia,DR3,390022956494188672,10.8332898,47.203882,19.578,2.885,0.311,5.2463,37.8036,-29.72,,,2.866,,,,1.019,,,1.575,-7.469,1.759,0.357,-7.505,0.36
Gaia,DR3,391458059687019648,9.290463,49.8720367,18.209,2.429,1.135,6.578,39.7205,-30.31,,,2.957,,,,4.308,,,1.437,-6.803,1.341,0.377,-7.504,0.342
