Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,2340225669822988544,1.786934,-22.7387091,15.221,1.483,1.027,3.3207,18.1638,0.75,,,3.564,,,,13.214,,,1.075,-15.185,1.689,0.603,-14.717,0.367
Gaia,DR3,2341321058281564160,0.2190387,-21.7179058,19.531,2.752,1.138,5.0652,25.5222,0.35,,,3.46,,,,1.007,,,0.901,-14.756,1.306,0.449,-14.031,0.415
Gaia,DR3,2323633038631869184,5.1685782,-25.8835666,18.984,3.014,0.448,1.9478,29.43,1.94,,,3.167,,,,1.033,,,1.234,-13.415,1.473,0.3,-13.595,0.238
