Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,415703635408772480,9.4587427,51.2887783,10.984,0.618,0.0,0.0,0.0,-0.71,-0.71,0.39,2.688,,,,1.209,,Gaia_DR3,-6.994,2.571,-6.994,0.019,2.571,0.016
Gaia,DR3,414958441399785088,13.2055165,50.6294742,19.918,2.443,2.238,2.45,20.1724,-1.26,,,2.604,,,,1.105,,,-6.617,2.824,-7.665,0.564,3.466,0.471
Gaia,DR3,415680747523401216,9.3171577,51.2847698,17.796,2.569,0.217,0.0886,28.6653,-0.69,,,2.913,,,,1.0,,,-7.584,2.77,-7.692,0.094,2.85,0.09
Gaia,DR3,421656838034910720,7.6315213,56.1591271,19.86,2.362,1.454,4.9884,38.3722,-0.1,,,2.556,,,,1.12,,,-6.716,2.291,-7.205,0.365,1.679,0.413
Gaia,DR3,421763696819568768,6.5917936,56.9762589,20.026,2.863,2.478,5.929,38.8144,0.09,,,2.663,,,,1.003,,,-7.033,2.28,-7.731,0.414,3.483,0.432
