Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,4684205720883329920,7.3289141,-76.3040311,9.527,0.561,0.0,0.0,0.0,2.74,2.74,0.27,5.067,,,,0.889,,Gaia_DR3,-2.926,6.848,-2.926,0.012,6.848,0.012
Gaia,DR3,4634626572626736640,6.4969796,-79.7046911,17.176,2.621,1.237,3.405,12.6803,2.36,,,4.954,,,,4.631,,,-2.756,6.894,-3.611,0.358,7.863,0.347
Gaia,DR3,6353089785720207360,357.5217012,-78.2806618,18.158,2.883,0.191,2.9194,14.6213,2.59,,,5.362,,,,1.003,,,-1.727,7.755,-1.679,0.135,7.544,0.152
Gaia,DR3,4643497329361254656,34.2050985,-74.4493253,16.965,2.754,0.333,6.9653,25.4915,2.42,,,5.344,,,,3.768,,,-6.256,4.968,-6.346,0.278,5.332,0.24
Gaia,DR3,4619359716236658944,47.2096139,-81.3932943,19.648,0.357,1.06,8.9534,31.6384,1.66,,,4.937,,,,0.973,,,-6.778,3.446,-5.815,0.328,3.983,0.305
